Gene_name	Gene_ID	First_design	Original_name
ABL1	ENSG00000097007	IMPACT-341	ABL1
ACVR1	ENSG00000115170	IMPACT-410	ACVR1
AGO2	ENSG00000123908	IMPACT-468	AGO2
AKT1	ENSG00000142208	IMPACT-341	AKT1
AKT2	ENSG00000105221	IMPACT-341	AKT2
AKT3	ENSG00000117020	IMPACT-341	AKT3
ALK	ENSG00000171094	IMPACT-341	ALK
ALOX12B	ENSG00000179477	IMPACT-341	ALOX12B
ANKRD11	ENSG00000167522	IMPACT-410	ANKRD11
APC	ENSG00000134982	IMPACT-341	APC
AR	ENSG00000169083	IMPACT-341	AR
ARAF	ENSG00000078061	IMPACT-341	ARAF
ARID1A	ENSG00000117713	IMPACT-341	ARID1A
ARID1B	ENSG00000049618	IMPACT-341	ARID1B
ARID2	ENSG00000189079	IMPACT-341	ARID2
ARID5B	ENSG00000150347	IMPACT-341	ARID5B
ASXL1	ENSG00000171456	IMPACT-341	ASXL1
ASXL2	ENSG00000143970	IMPACT-341	ASXL2
ATM	ENSG00000149311	IMPACT-341	ATM
ATR	ENSG00000175054	IMPACT-341	ATR
ATRX	ENSG00000085224	IMPACT-341	ATRX
AURKA	ENSG00000087586	IMPACT-341	AURKA
AURKB	ENSG00000178999	IMPACT-341	AURKB
AXIN1	ENSG00000103126	IMPACT-341	AXIN1
AXIN2	ENSG00000168646	IMPACT-341	AXIN2
AXL	ENSG00000167601	IMPACT-341	AXL
B2M	ENSG00000166710	IMPACT-341	B2M
BABAM1	ENSG00000105393	IMPACT-468	BABAM1
BAP1	ENSG00000163930	IMPACT-341	BAP1
BARD1	ENSG00000138376	IMPACT-341	BARD1
BBC3	ENSG00000105327	IMPACT-341	BBC3
BCL10	ENSG00000142867	IMPACT-410	BCL10
BCL2	ENSG00000171791	IMPACT-341	BCL2
BCL2L1	ENSG00000171552	IMPACT-341	BCL2L1
BCL2L11	ENSG00000153094	IMPACT-341	BCL2L11
BCL6	ENSG00000113916	IMPACT-341	BCL6
BCOR	ENSG00000183337	IMPACT-341	BCOR
BIRC3	ENSG00000023445	IMPACT-410	BIRC3
BLM	ENSG00000197299	IMPACT-341	BLM
BMPR1A	ENSG00000107779	IMPACT-341	BMPR1A
BRAF	ENSG00000157764	IMPACT-341	BRAF
BRCA1	ENSG00000012048	IMPACT-341	BRCA1
BRCA2	ENSG00000139618	IMPACT-341	BRCA2
BRD4	ENSG00000141867	IMPACT-341	BRD4
BRIP1	ENSG00000136492	IMPACT-341	BRIP1
BTK	ENSG00000010671	IMPACT-341	BTK
CALR	ENSG00000179218	IMPACT-410	CALR
CARD11	ENSG00000198286	IMPACT-341	CARD11
