Gene_name	Gene_ID	First_design	Original_name	Type
ABL1	ENSG00000097007	IMPACT-341	ABL1	Oncogene
ACVR1	ENSG00000115170	IMPACT-410	ACVR1	Oncogene
AGO2	ENSG00000123908	IMPACT-468	AGO2	Others
AKT1	ENSG00000142208	IMPACT-341	AKT1	Oncogene
AKT2	ENSG00000105221	IMPACT-341	AKT2	Oncogene
AKT3	ENSG00000117020	IMPACT-341	AKT3	Oncogene
ALK	ENSG00000171094	IMPACT-341	ALK	Oncogene
ALOX12B	ENSG00000179477	IMPACT-341	ALOX12B	Others
ANKRD11	ENSG00000167522	IMPACT-410	ANKRD11	Suppressor
APC	ENSG00000134982	IMPACT-341	APC	Suppressor
AR	ENSG00000169083	IMPACT-341	AR	Oncogene
ARAF	ENSG00000078061	IMPACT-341	ARAF	Oncogene
ARID1A	ENSG00000117713	IMPACT-341	ARID1A	Suppressor
ARID1B	ENSG00000049618	IMPACT-341	ARID1B	Suppressor
ARID2	ENSG00000189079	IMPACT-341	ARID2	Suppressor
ARID5B	ENSG00000150347	IMPACT-341	ARID5B	Suppressor
ASXL1	ENSG00000171456	IMPACT-341	ASXL1	Suppressor
ASXL2	ENSG00000143970	IMPACT-341	ASXL2	Suppressor
ATM	ENSG00000149311	IMPACT-341	ATM	Suppressor
ATR	ENSG00000175054	IMPACT-341	ATR	Suppressor
ATRX	ENSG00000085224	IMPACT-341	ATRX	Suppressor
AURKA	ENSG00000087586	IMPACT-341	AURKA	Oncogene
AURKB	ENSG00000178999	IMPACT-341	AURKB	Oncogene
AXIN1	ENSG00000103126	IMPACT-341	AXIN1	Suppressor
AXIN2	ENSG00000168646	IMPACT-341	AXIN2	Suppressor
AXL	ENSG00000167601	IMPACT-341	AXL	Oncogene
B2M	ENSG00000166710	IMPACT-341	B2M	Suppressor
BABAM1	ENSG00000105393	IMPACT-468	BABAM1	Others
BAP1	ENSG00000163930	IMPACT-341	BAP1	Suppressor
BARD1	ENSG00000138376	IMPACT-341	BARD1	Suppressor
BBC3	ENSG00000105327	IMPACT-341	BBC3	Suppressor
BCL10	ENSG00000142867	IMPACT-410	BCL10	Suppressor
BCL2	ENSG00000171791	IMPACT-341	BCL2	Oncogene
BCL2L1	ENSG00000171552	IMPACT-341	BCL2L1	Others
BCL2L11	ENSG00000153094	IMPACT-341	BCL2L11	Suppressor
BCL6	ENSG00000113916	IMPACT-341	BCL6	Oncogene
BCOR	ENSG00000183337	IMPACT-341	BCOR	Suppressor
BIRC3	ENSG00000023445	IMPACT-410	BIRC3	Others
BLM	ENSG00000197299	IMPACT-341	BLM	Suppressor
BMPR1A	ENSG00000107779	IMPACT-341	BMPR1A	Suppressor
BRAF	ENSG00000157764	IMPACT-341	BRAF	Oncogene
BRCA1	ENSG00000012048	IMPACT-341	BRCA1	Suppressor
BRCA2	ENSG00000139618	IMPACT-341	BRCA2	Suppressor
BRD4	ENSG00000141867	IMPACT-341	BRD4	Oncogene
BRIP1	ENSG00000136492	IMPACT-341	BRIP1	Suppressor
BTK	ENSG00000010671	IMPACT-341	BTK	Oncogene
CALR	ENSG00000179218	IMPACT-410	CALR	Oncogene
CARD11	ENSG00000198286	IMPACT-341	CARD11	Oncogene
CARM1	ENSG00000142453	IMPACT-468	CARM1	Others
CASP8	ENSG00000064012	IMPACT-341	CASP8	Suppressor
CBFB	ENSG00000067955	IMPACT-341	CBFB	Suppressor
CBL	ENSG00000110395	IMPACT-341	CBL	Suppressor
CCND1	ENSG00000110092	IMPACT-341	CCND1	Oncogene
CCND2	ENSG00000118971	IMPACT-341	CCND2	Oncogene
CCND3	ENSG00000112576	IMPACT-341	CCND3	Oncogene
CCNE1	ENSG00000105173	IMPACT-341	CCNE1	Oncogene
CD274	ENSG00000120217	IMPACT-341	CD274	Oncogene
CD276	ENSG00000103855	IMPACT-341	CD276	Oncogene
CD79A	ENSG00000105369	IMPACT-410	CD79A	Oncogene
CD79B	ENSG00000007312	IMPACT-341	CD79B	Oncogene
CDC42	ENSG00000070831	IMPACT-468	CDC42	Oncogene
CDC73	ENSG00000134371	IMPACT-341	CDC73	Suppressor
CDH1	ENSG00000039068	IMPACT-341	CDH1	Suppressor
CDK12	ENSG00000167258	IMPACT-341	CDK12	Suppressor
CDK4	ENSG00000135446	IMPACT-341	CDK4	Oncogene
CDK6	ENSG00000105810	IMPACT-341	CDK6	Oncogene
CDK8	ENSG00000132964	IMPACT-341	CDK8	Oncogene
