Gene_ID	GeneSymbol	Transcript_ID
ENSG00000223972	DDX11L1	ENST00000450305
ENSG00000227232	WASH7P	ENST00000488147
ENSG00000278267	MIR6859-1	ENST00000619216
ENSG00000243485	MIR1302-2HG	ENST00000473358
ENSG00000284332	MIR1302-2	ENST00000607096
ENSG00000237613	FAM138A	ENST00000417324
ENSG00000268020	OR4G4P	ENST00000606857
ENSG00000240361	OR4G11P	ENST00000492842
ENSG00000186092	OR4F5	ENST00000641515
ENSG00000238009	ENSG00000238009	ENST00000477740
ENSG00000239945	ENSG00000239945	ENST00000495576
ENSG00000233750	CICP27	ENST00000442987
ENSG00000268903	ENSG00000268903	ENST00000494149
ENSG00000269981	ENSG00000269981	ENST00000595919
ENSG00000239906	ENSG00000239906	ENST00000493797
ENSG00000241860	ENSG00000241860	ENST00000466557
ENSG00000222623	RNU6-1100P	ENST00000410691
ENSG00000241599	ENSG00000241599	ENST00000496488
ENSG00000279928	DDX11L17	ENST00000624431
ENSG00000279457	WASH9P	ENST00000623083
ENSG00000273874	MIR6859-2	ENST00000612080
ENSG00000228463	ENSG00000228463	ENST00000450734
ENSG00000286448	ENSG00000286448	ENST00000669836
ENSG00000236679	RPL23AP24	ENST00000458203
ENSG00000236601	ENSG00000236601	ENST00000450983
ENSG00000237094	ENSG00000237094	ENST00000445840
ENSG00000269732	WBP1LP7	ENST00000437905
ENSG00000284733	OR4F29	ENST00000426406
ENSG00000233653	CICP7	ENST00000432723
ENSG00000250575	ENSG00000250575	ENST00000514436
ENSG00000278757	U6	ENST00000614007
ENSG00000230021	ENSG00000230021	ENST00000636676
ENSG00000235146	ENSG00000235146	ENST00000423796
ENSG00000225972	MTND1P23	ENST00000416931
ENSG00000225630	MTND2P28	ENST00000457540
ENSG00000237973	MTCO1P12	ENST00000414273
ENSG00000278791	ENSG00000278791	ENST00000621981
ENSG00000229344	MTCO2P12	ENST00000427426
ENSG00000240409	MTATP8P1	ENST00000467115
ENSG00000248527	MTATP6P1	ENST00000514057
ENSG00000198744	MTCO3P12	ENST00000416718
ENSG00000268663	WBP1LP6	ENST00000438434
ENSG00000284662	OR4F16	ENST00000332831
ENSG00000229376	CICP3	ENST00000440782
ENSG00000228327	ENSG00000228327	ENST00000428504
ENSG00000223181	RNU6-1199P	ENST00000411249
ENSG00000229905	ENSG00000229905	ENST00000422528
ENSG00000237491	LINC01409	ENST00000412115
ENSG00000285268	ENSG00000285268	ENST00000644482
ENSG00000230092	ENSG00000230092	ENST00000590817
ENSG00000177757	FAM87B	ENST00000326734
ENSG00000228794	LINC01128	ENST00000445118
ENSG00000225880	LINC00115	ENST00000473798
ENSG00000288531	ENSG00000288531	ENST00000661463
ENSG00000230368	FAM41C	ENST00000446136
ENSG00000234711	TUBB8P11	ENST00000415481
ENSG00000283040	ENSG00000283040	ENST00000635557
ENSG00000272438	ENSG00000272438	ENST00000607769
ENSG00000230699	ENSG00000230699	ENST00000448179
ENSG00000241180	ENSG00000241180	ENST00000398216
ENSG00000223764	LINC02593	ENST00000417705
ENSG00000187634	SAMD11	ENST00000616016
ENSG00000188976	NOC2L	ENST00000327044
ENSG00000187961	KLHL17	ENST00000338591
ENSG00000187583	PLEKHN1	ENST00000379410
ENSG00000187642	PERM1	ENST00000433179
ENSG00000272512	ENSG00000272512	ENST00000606034
ENSG00000188290	HES4	ENST00000304952
ENSG00000187608	ISG15	ENST00000649529
ENSG00000231702	ENSG00000231702	ENST00000423619
ENSG00000224969	ENSG00000224969	ENST00000458555
ENSG00000188157	AGRN	ENST00000379370
ENSG00000242590	ENSG00000242590	ENST00000418300
ENSG00000217801	ENSG00000217801	ENST00000412397
ENSG00000273443	ENSG00000273443	ENST00000442292
ENSG00000237330	RNF223	ENST00000453464
ENSG00000131591	C1orf159	ENST00000421241
ENSG00000285812	ENSG00000285812	ENST00000648183
ENSG00000223823	LINC01342	ENST00000416774
ENSG00000207730	MIR200B	ENST00000384997
ENSG00000207607	MIR200A	ENST00000384875
ENSG00000198976	MIR429	ENST00000362106
ENSG00000272141	ENSG00000272141	ENST00000606993
ENSG00000205231	TTLL10-AS1	ENST00000379317
ENSG00000162571	TTLL10	ENST00000379289
ENSG00000186891	TNFRSF18	ENST00000379268
ENSG00000186827	TNFRSF4	ENST00000379236
ENSG00000078808	SDF4	ENST00000360001
ENSG00000176022	B3GALT6	ENST00000379198
ENSG00000184163	C1QTNF12	ENST00000330388
ENSG00000260179	ENSG00000260179	ENST00000565563
ENSG00000160087	UBE2J2	ENST00000349431
ENSG00000230415	LINC01786	ENST00000434139
ENSG00000162572	SCNN1D	ENST00000379116
ENSG00000131584	ACAP3	ENST00000354700
ENSG00000278073	MIR6726	ENST00000613751
ENSG00000169972	PUSL1	ENST00000379031
ENSG00000127054	INTS11	ENST00000435064
ENSG00000283712	MIR6727	ENST00000620702
ENSG00000240731	ENSG00000240731	ENST00000444968
ENSG00000224051	CPTP	ENST00000343938
ENSG00000169962	TAS1R3	ENST00000339381
ENSG00000107404	DVL1	ENST00000378888
ENSG00000284372	MIR6808	ENST00000616525
ENSG00000162576	MXRA8	ENST00000309212
ENSG00000175756	AURKAIP1	ENST00000338338
ENSG00000223663	NDUFB4P8	ENST00000435351
ENSG00000221978	CCNL2	ENST00000400809
ENSG00000224870	MRPL20-AS1	ENST00000444362
ENSG00000242485	MRPL20	ENST00000344843
ENSG00000264293	RN7SL657P	ENST00000582431
ENSG00000272455	MRPL20-DT	ENST00000607307
ENSG00000235098	ANKRD65	ENST00000537107
ENSG00000225905	ENSG00000225905	ENST00000428932
ENSG00000205116	TMEM88B	ENST00000378821
ENSG00000225285	LINC01770	ENST00000430109
ENSG00000179403	VWA1	ENST00000476993
ENSG00000215915	ATAD3C	ENST00000378785
ENSG00000160072	ATAD3B	ENST00000673477
ENSG00000284740	ENSG00000284740	ENST00000641679
ENSG00000197785	ATAD3A	ENST00000378756
ENSG00000205090	TMEM240	ENST00000378733
ENSG00000160075	SSU72	ENST00000291386
ENSG00000215014	ENSG00000215014	ENST00000647566
ENSG00000274481	ENSG00000274481	ENST00000621860
ENSG00000228594	FNDC10	ENST00000422725
ENSG00000286989	ENSG00000286989	ENST00000658591
ENSG00000272106	ENSG00000272106	ENST00000607222
ENSG00000197530	MIB2	ENST00000355826
ENSG00000189409	MMP23B	ENST00000356026
ENSG00000248333	CDK11B	ENST00000341832
ENSG00000272004	ENSG00000272004	ENST00000607013
ENSG00000189339	SLC35E2B	ENST00000617444
ENSG00000269737	ENSG00000269737	ENST00000597891
ENSG00000215914	MMP23A	ENST00000234610
ENSG00000008128	CDK11A	ENST00000404249
ENSG00000268575	ENSG00000268575	ENST00000598846
ENSG00000227775	ENSG00000227775	ENST00000418950
ENSG00000215790	SLC35E2A	ENST00000643943
ENSG00000008130	NADK	ENST00000341426
ENSG00000078369	GNB1	ENST00000378609
ENSG00000231050	ENSG00000231050	ENST00000689170
ENSG00000169885	CALML6	ENST00000307786
ENSG00000178821	TMEM52	ENST00000310991
ENSG00000142609	CFAP74	ENST00000682832
ENSG00000233542	ENSG00000233542	ENST00000443930
ENSG00000187730	GABRD	ENST00000378585
ENSG00000226969	ENSG00000226969	ENST00000449154
ENSG00000067606	PRKCZ	ENST00000378567
ENSG00000271806	ENSG00000271806	ENST00000606533
ENSG00000182873	PRKCZ-AS1	ENST00000333854
ENSG00000162585	FAAP20	ENST00000378546
ENSG00000234396	ENSG00000234396	ENST00000442483
ENSG00000157933	SKI	ENST00000378536
ENSG00000287356	ENSG00000287356	ENST00000661319
ENSG00000116151	MORN1	ENST00000378531
ENSG00000272161	ENSG00000272161	ENST00000607720
ENSG00000269896	ENSG00000269896	ENST00000417061
ENSG00000272420	ENSG00000272420	ENST00000607858
ENSG00000157916	RER1	ENST00000605895
ENSG00000157911	PEX10	ENST00000447513
ENSG00000149527	PLCH2	ENST00000378486
ENSG00000224387	ENSG00000224387	ENST00000424657
ENSG00000229393	ENSG00000229393	ENST00000442305
ENSG00000157881	PANK4	ENST00000378466
ENSG00000197921	HES5	ENST00000378453
ENSG00000272449	ENSG00000272449	ENST00000644246
ENSG00000238164	TNFRSF14-AS1	ENST00000416860
ENSG00000157873	TNFRSF14	ENST00000355716
ENSG00000225931	ENSG00000225931	ENST00000456687
ENSG00000228037	ENSG00000228037	ENST00000424215
ENSG00000289610	ENSG00000289610	ENST00000686752
ENSG00000157870	PRXL2B	ENST00000419916
ENSG00000142606	MMEL1	ENST00000378412
ENSG00000237058	MMEL1-AS1	ENST00000427302
ENSG00000215912	TTC34	ENST00000401095
ENSG00000285945	ENSG00000285945	ENST00000648684
ENSG00000283259	ENSG00000283259	ENST00000638002
ENSG00000233234	ENSG00000233234	ENST00000457440
ENSG00000287396	ENSG00000287396	ENST00000664694
ENSG00000231630	ENSG00000231630	ENST00000429389
ENSG00000284745	ENSG00000284745	ENST00000642073
ENSG00000169717	ACTRT2	ENST00000378404
ENSG00000177133	PRDM16-DT	ENST00000687743
ENSG00000142611	PRDM16	ENST00000270722
ENSG00000283572	MIR4251	ENST00000635819
ENSG00000226286	ENSG00000226286	ENST00000440516
ENSG00000279839	ENSG00000279839	ENST00000624175
ENSG00000272235	ENSG00000272235	ENST00000607061
ENSG00000287828	ENSG00000287828	ENST00000669140
ENSG00000286518	ENSG00000286518	ENST00000665088
ENSG00000130762	ARHGEF16	ENST00000378378
ENSG00000272088	ENSG00000272088	ENST00000606489
ENSG00000162591	MEGF6	ENST00000356575
