Gene_name	Basic_transcript
DDX11L1	ENST00000456328;ENST00000450305
WASH7P	ENST00000488147
MIR1302-2HG	ENST00000473358;ENST00000469289
FAM138A	ENST00000417324
OR4G4P	ENST00000606857
OR4G11P	ENST00000642116;ENST00000492842
OR4F5	ENST00000641515;ENST00000335137
AL627309.1	ENST00000466430;ENST00000610542;ENST00000423372
AL627309.3	ENST00000495576
CICP27	ENST00000442987
AL627309.6	ENST00000494149
AL627309.7	ENST00000595919
AL627309.2	ENST00000493797
AL627309.5	ENST00000484859;ENST00000466557;ENST00000662089
RNU6-1100P	ENST00000410691
AL627309.4	ENST00000496488
AP006222.2	ENST00000424587;ENST00000669836
OR4F29	ENST00000426406
RP4-669L17.2	ENST00000450983
RP5-857K21.15	ENST00000441866
AL669831.3	ENST00000634833;ENST00000634337;ENST00000636676
AC114498.1	ENST00000423796
MTND1P23	ENST00000416931
MTND2P28	ENST00000457540
MTCO1P12	ENST00000414273
MTCO2P12	ENST00000427426
MTATP8P1	ENST00000467115
MTATP6P1	ENST00000514057
MTCO3P12	ENST00000416718
WBP1LP6	ENST00000438434
OR4F16	ENST00000332831
CICP3	ENST00000440782
AL669831.1	ENST00000506640;ENST00000428504
RP11-206L10.3	ENST00000416385
RNU6-1199P	ENST00000411249
AL669831.2	ENST00000422528
LINC01409	ENST00000670700;ENST00000429505;ENST00000434264;ENST00000656571;ENST00000443772;ENST00000667728
AL669831.6	ENST00000644482
AL669831.4	ENST00000447500;ENST00000590817
FAM87B	ENST00000326734
LINC01128	ENST00000445118;ENST00000670780;ENST00000666741;ENST00000608189;ENST00000609009;ENST00000657837;ENST00000661237
LINC00115	ENST00000473798
AL669831.7	ENST00000671208;ENST00000661463
FAM41C	ENST00000446136;ENST00000432963
TUBB8P11	ENST00000415481
AL669831.5	ENST00000635557
AL645608.6	ENST00000607769
AL645608.2	ENST00000448179
AL645608.4	ENST00000398216
LINC02593	ENST00000417705
SAMD11	ENST00000342066;ENST00000618181;ENST00000622503;ENST00000618323;ENST00000616016;ENST00000618779;ENST00000616125;ENST00000620200;ENST00000617307
NOC2L	ENST00000327044
KLHL17	ENST00000338591;ENST00000622660
PLEKHN1	ENST00000379410;ENST00000379409;ENST00000379407
PERM1	ENST00000341290;ENST00000433179
AL645608.7	ENST00000606034
HES4	ENST00000428771;ENST00000304952;ENST00000484667
ISG15	ENST00000624697;ENST00000649529
AL645608.3	ENST00000423619
AL645608.1	ENST00000458555
AGRN	ENST00000379370;ENST00000620552
AL645608.5	ENST00000418300
AL390719.1	ENST00000394517;ENST00000412397
AL645608.8	ENST00000442292
RNF223	ENST00000453464
C1orf159	ENST00000379339;ENST00000421241;ENST00000379320;ENST00000379319
AL390719.3	ENST00000648183
LINC01342	ENST00000416774
MIR200B	ENST00000384997
MIR200A	ENST00000384875
MIR429	ENST00000362106
AL390719.2	ENST00000606993
TTLL10-AS1	ENST00000379317
TTLL10	ENST00000379290;ENST00000379289;ENST00000379288
TNFRSF18	ENST00000328596;ENST00000379268;ENST00000486728;ENST00000379265
TNFRSF4	ENST00000379236
SDF4	ENST00000360001;ENST00000660930;ENST00000263741
B3GALT6	ENST00000379198
C1QTNF12	ENST00000330388
AL162741.1	ENST00000565563
UBE2J2	ENST00000349431;ENST00000347370;ENST00000400929;ENST00000360466;ENST00000400930
LINC01786	ENST00000434139;ENST00000453732
SCNN1D	ENST00000379116;ENST00000338555;ENST00000400928;ENST00000325425
ACAP3	ENST00000354700;ENST00000353662
PUSL1	ENST00000379031
INTS11	ENST00000540437;ENST00000545578;ENST00000620829;ENST00000618806;ENST00000435064;ENST00000411962;ENST00000421495;ENST00000419704;ENST00000450926;ENST00000429572
AL139287.1	ENST00000444968
CPTP	ENST00000343938
TAS1R3	ENST00000339381
DVL1	ENST00000378891;ENST00000378888;ENST00000610709
MXRA8	ENST00000342753;ENST00000309212;ENST00000445648;ENST00000477278
AURKAIP1	ENST00000338370;ENST00000338338;ENST00000321751;ENST00000378853
NDUFB4P8	ENST00000435351
CCNL2	ENST00000400809;ENST00000408952;ENST00000408918
MRPL20-AS1	ENST00000447725
MRPL20	ENST00000344843;ENST00000482352
RN7SL657P	ENST00000582431
AL391244.2	ENST00000607307
ANKRD65	ENST00000520296;ENST00000427211;ENST00000537107;ENST00000454272;ENST00000442470
AL391244.1	ENST00000428932
TMEM88B	ENST00000378821
LINC01770	ENST00000430109;ENST00000417917
VWA1	ENST00000338660;ENST00000476993
ATAD3C	ENST00000378785
ATAD3B	ENST00000673477;ENST00000308647
AL645728.2	ENST00000641974;ENST00000641679
ATAD3A	ENST00000378756;ENST00000378755;ENST00000536055
TMEM240	ENST00000378733;ENST00000425828;ENST00000624426
SSU72	ENST00000291386;ENST00000359060
AL645728.1	ENST00000647566
AL691432.3	ENST00000621860
FNDC10	ENST00000422725
AL691432.4	ENST00000658591
AL691432.2	ENST00000607222
MIB2	ENST00000520777;ENST00000355826;ENST00000518681;ENST00000505820;ENST00000378712;ENST00000504599;ENST00000378708
MMP23B	ENST00000356026;ENST00000378675
CDK11B	ENST00000341832;ENST00000407249;ENST00000340677;ENST00000629289;ENST00000626918;ENST00000629312
FO704657.1	ENST00000607013
SLC35E2B	ENST00000614300;ENST00000617444;ENST00000611123
AL691432.1	ENST00000596308;ENST00000597891
MMP23A	ENST00000234610
CDK11A	ENST00000404249;ENST00000356200;ENST00000378638;ENST00000357760;ENST00000358779;ENST00000378633
AL031282.2	ENST00000598846
AL031282.1	ENST00000577672;ENST00000418950
SLC35E2A	ENST00000355439;ENST00000643905
NADK	ENST00000341426;ENST00000341991;ENST00000378625
GNB1	ENST00000610897;ENST00000615252;ENST00000378609
AL109917.1	ENST00000412228
CALML6	ENST00000307786
TMEM52	ENST00000378602;ENST00000310991
CFAP74	ENST00000493964
AL391845.2	ENST00000443930;ENST00000659674
GABRD	ENST00000378585;ENST00000640067;ENST00000638771;ENST00000640949
AL391845.1	ENST00000449154
PRKCZ	ENST00000400921
AL590822.2	ENST00000606533
PRKCZ-AS1	ENST00000333854;ENST00000444529
FAAP20	ENST00000400919;ENST00000378546
AL590822.1	ENST00000442483
SKI	ENST00000378536
AL590822.3	ENST00000659232;ENST00000661319
MORN1	ENST00000378531;ENST00000378529
AL589739.1	ENST00000607720
AL513477.1	ENST00000602865;ENST00000417061
AL513477.2	ENST00000607858
RER1	ENST00000378513;ENST00000378518;ENST00000605895;ENST00000378512;ENST00000488353
PEX10	ENST00000288774;ENST00000447513;ENST00000507596
PLCH2	ENST00000449969;ENST00000378486;ENST00000419816
AL139246.1	ENST00000424657
AL139246.4	ENST00000442305
PANK4	ENST00000378466;ENST00000435556
HES5	ENST00000378453
AL139246.5	ENST00000644246
TNFRSF14-AS1	ENST00000449660;ENST00000416860;ENST00000432521;ENST00000452793
TNFRSF14	ENST00000409119;ENST00000355716
AL139246.2	ENST00000456687
AL139246.3	ENST00000424215
