Gene_ID	GeneSymbol	Transcript_ID
ENSG00000180008	SOCS4	ENST00000395472;ENST00000555846;ENST00000553735;ENST00000339298
ENSG00000124209	RAB22A	ENST00000244040
ENSG00000064703	DDX20	ENST00000679724;ENST00000533164;ENST00000679774;ENST00000534200;ENST00000679498;ENST00000369702;ENST00000679381;ENST00000681529;ENST00000680038;ENST00000680415;ENST00000681559;ENST00000680627;ENST00000680383;ENST00000680317;ENST00000680936;ENST00000679576;ENST00000680518;ENST00000681747;ENST00000680983;ENST00000524894
ENSG00000230873	STMND1	ENST00000536551;ENST00000354384
ENSG00000111671	SPSB2	ENST00000523102;ENST00000524270;ENST00000519357;ENST00000432205
ENSG00000171408	PDE7B	ENST00000308191;ENST00000615259;ENST00000446774
ENSG00000164938	TP53INP1	ENST00000448464;ENST00000342697
ENSG00000243772	KIR2DL3	ENST00000342376
ENSG00000160161	CILP2	ENST00000586018;ENST00000291495
ENSG00000110514	MADD	ENST00000453571;ENST00000342922;ENST00000428807;ENST00000402799;ENST00000406482;ENST00000349238;ENST00000311027;ENST00000407859;ENST00000395344;ENST00000444117;ENST00000395336;ENST00000402192;ENST00000422579;ENST00000405573;ENST00000634938
ENSG00000247077	PGAM5	ENST00000317555;ENST00000498926;ENST00000543955;ENST00000454808
ENSG00000196376	SLC35F1	ENST00000360388;ENST00000621341
ENSG00000100147	CCDC134	ENST00000402061;ENST00000255784
ENSG00000076864	RAP1GAP	ENST00000374763;ENST00000374761;ENST00000471600;ENST00000374765;ENST00000542643;ENST00000495204;ENST00000317967;ENST00000447293
ENSG00000086015	MAST2	ENST00000361297;ENST00000372008;ENST00000674079
ENSG00000248920	USP17L19	ENST00000515566
ENSG00000102125	TAFAZZIN	ENST00000612460;ENST00000601016;ENST00000613002;ENST00000652682;ENST00000475699;ENST00000617701;ENST00000615658;ENST00000614595;ENST00000612012;ENST00000652476;ENST00000369776;ENST00000621647;ENST00000652685;ENST00000439735;ENST00000616020;ENST00000476800;ENST00000652358;ENST00000652390;ENST00000483674;ENST00000426231;ENST00000652354;ENST00000479875;ENST00000470127;ENST00000652644;ENST00000651139
ENSG00000129351	ILF3	ENST00000449870;ENST00000407004;ENST00000589998;ENST00000589600;ENST00000589283;ENST00000590009;ENST00000593199;ENST00000587505;ENST00000589052;ENST00000250241;ENST00000592763;ENST00000588657;ENST00000590261;ENST00000587941;ENST00000587840;ENST00000589416;ENST00000585835;ENST00000589485;ENST00000593061;ENST00000590869
ENSG00000168032	ENTPD3	ENST00000301825;ENST00000439533;ENST00000456402;ENST00000445129
ENSG00000168036	CTNNB1	ENST00000643541;ENST00000426215;ENST00000645210;ENST00000646381;ENST00000405570;ENST00000642248;ENST00000433400;ENST00000642992;ENST00000431914;ENST00000642836;ENST00000396185;ENST00000642986;ENST00000644678;ENST00000396183;ENST00000643031;ENST00000645982;ENST00000453024;ENST00000647264;ENST00000645900;ENST00000646174;ENST00000643992;ENST00000647390;ENST00000642886;ENST00000643052;ENST00000488914;ENST00000644138;ENST00000645276;ENST00000646074;ENST00000642426;ENST00000349496;ENST00000646116;ENST00000644873;ENST00000643865;ENST00000644867;ENST00000646725;ENST00000645493;ENST00000646369;ENST00000647413;ENST00000643977;ENST00000644524;ENST00000645305;ENST00000643297;ENST00000450969;ENST00000642315;ENST00000645320;ENST00000441708;ENST00000645927;ENST00000645763;ENST00000644906;ENST00000471014;ENST00000644501
ENSG00000167740	CYB5D2	ENST00000577075;ENST00000301391;ENST00000575251;ENST00000573984
ENSG00000168038	ULK4	ENST00000301831;ENST00000420927;ENST00000414606
ENSG00000167346	MMP26	ENST00000380390;ENST00000300762;ENST00000690848
ENSG00000167749	KLK4	ENST00000324041;ENST00000431178
ENSG00000112149	CD83	ENST00000612003;ENST00000379153
ENSG00000240764	PCDHGC5	ENST00000252087;ENST00000610789
ENSG00000148053	NTRK2	ENST00000692804;ENST00000686542;ENST00000693539;ENST00000692181;ENST00000691415;ENST00000686259;ENST00000689685;ENST00000693109;ENST00000692389;ENST00000686496;ENST00000692506;ENST00000687636;ENST00000688013;ENST00000692762;ENST00000689815;ENST00000359847;ENST00000395882;ENST00000376208;ENST00000376213;ENST00000688241;ENST00000687596;ENST00000693384;ENST00000685387;ENST00000693127;ENST00000685720;ENST00000686443;ENST00000691788;ENST00000686324;ENST00000687386;ENST00000323115;ENST00000690281;ENST00000277120;ENST00000687148;ENST00000304053;ENST00000686322;ENST00000689301;ENST00000692473
ENSG00000124201	ZNFX1	ENST00000371754;ENST00000371752;ENST00000396105;ENST00000371744;ENST00000455070
ENSG00000108784	NAGLU	ENST00000225927;ENST00000586516;ENST00000591587;ENST00000590358;ENST00000592454
ENSG00000170421	KRT8	ENST00000552551;ENST00000692008;ENST00000293308;ENST00000546897;ENST00000552150;ENST00000546826;ENST00000547176;ENST00000548998;ENST00000546900;ENST00000546542;ENST00000619952
ENSG00000213995	NAXD	ENST00000680254;ENST00000424185;ENST00000679389;ENST00000309957;ENST00000680505;ENST00000680312
ENSG00000087494	PTHLH	ENST00000395872;ENST00000545234;ENST00000539239;ENST00000538310;ENST00000201015;ENST00000535992;ENST00000395868;ENST00000542963;ENST00000534890
ENSG00000075388	FGF4	ENST00000168712
ENSG00000219545	UMAD1	ENST00000463725;ENST00000682710;ENST00000636849;ENST00000639110;ENST00000639343;ENST00000482067
ENSG00000169740	ZNF32	ENST00000395797;ENST00000374433
ENSG00000261609	GAN	ENST00000648349;ENST00000648994;ENST00000674788
ENSG00000169744	LDB2	ENST00000515064;ENST00000441778;ENST00000304523;ENST00000502640;ENST00000507464;ENST00000503153;ENST00000504886;ENST00000506732;ENST00000513457
ENSG00000171405	XAGE5	ENST00000375501;ENST00000351072
ENSG00000181885	CLDN7	ENST00000360325;ENST00000538261;ENST00000397317;ENST00000574070;ENST00000575313;ENST00000571881;ENST00000571932
ENSG00000197150	ABCB8	ENST00000542328;ENST00000461373;ENST00000488826;ENST00000297504;ENST00000358849;ENST00000498578;ENST00000477719;ENST00000477092;ENST00000488370;ENST00000469410;ENST00000493338;ENST00000491920
ENSG00000177565	TBL1XR1	ENST00000636864;ENST00000457928;ENST00000430069;ENST00000637659;ENST00000673974;ENST00000631253;ENST00000352800;ENST00000422442;ENST00000626758;ENST00000428970;ENST00000424913;ENST00000437738;ENST00000431421;ENST00000635794;ENST00000630796;ENST00000450267;ENST00000630833;ENST00000431674;ENST00000422066;ENST00000443315;ENST00000627825;ENST00000427349;ENST00000413084
ENSG00000100426	ZBED4	ENST00000216268
ENSG00000168298	H1-4	ENST00000304218
ENSG00000059804	SLC2A3	ENST00000075120;ENST00000544291
ENSG00000168297	PXK	ENST00000302779;ENST00000383716;ENST00000356151;ENST00000463280;ENST00000383715;ENST00000484288;ENST00000479241;ENST00000491164;ENST00000479134;ENST00000459676;ENST00000495557;ENST00000493474
ENSG00000251692	PTX4	ENST00000447419;ENST00000440447;ENST00000293922
ENSG00000168291	PDHB	ENST00000302746;ENST00000383714;ENST00000485460;ENST00000474765
ENSG00000175707	KDF1	ENST00000320567
ENSG00000105879	CBLL1	ENST00000222597;ENST00000440859;ENST00000415884;ENST00000420796
ENSG00000181915	ADO	ENST00000373783
ENSG00000120903	CHRNA2	ENST00000407991;ENST00000520600;ENST00000520933;ENST00000240132;ENST00000637241;ENST00000524096;ENST00000518712;ENST00000521921;ENST00000520208;ENST00000637361
ENSG00000175701	MTLN	ENST00000611969;ENST00000414416;ENST00000426713
ENSG00000277058	HNRNPCL3	ENST00000617807;ENST00000681473
ENSG00000105877	DNAH11	ENST00000409508;ENST00000605912;ENST00000607413;ENST00000421290
ENSG00000105875	WDR91	ENST00000423565;ENST00000354475;ENST00000682802;ENST00000683848;ENST00000684322;ENST00000683947;ENST00000684339;ENST00000684486;ENST00000683628;ENST00000682759;ENST00000682339;ENST00000474411;ENST00000682160;ENST00000485942;ENST00000682250;ENST00000682534
ENSG00000135074	ADAM19	ENST00000517374;ENST00000257527;ENST00000517905
ENSG00000135077	HAVCR2	ENST00000307851;ENST00000522593;ENST00000524219
ENSG00000131023	LATS1	ENST00000543571;ENST00000253339;ENST00000441107;ENST00000392273;ENST00000458696
ENSG00000057294	PKP2	ENST00000070846;ENST00000340811;ENST00000546741
ENSG00000112144	CILK1	ENST00000350082;ENST00000676107;ENST00000356971
ENSG00000131759	RARA	ENST00000254066;ENST00000577646;ENST00000394089;ENST00000425707;ENST00000394086;ENST00000394081;ENST00000475125
ENSG00000142279	WTIP	ENST00000590071;ENST00000585928
ENSG00000146083	RNF44	ENST00000274811;ENST00000506378
ENSG00000136250	AOAH	ENST00000617537;ENST00000612871;ENST00000617267;ENST00000435386;ENST00000414637
ENSG00000149792	MRPL49	ENST00000534078;ENST00000526319;ENST00000526171;ENST00000279242;ENST00000531705;ENST00000533943
ENSG00000149021	SCGB1A1	ENST00000534397;ENST00000278282
ENSG00000146085	MMUT	ENST00000274813
