GeneID	GeneSymbol	TranscriptID	UniProtMatch	InGencodeV34
ENSG00000097007	ABL1	ENST00000372348	P00519	TRUE
ENSG00000115170	ACVR1	ENST00000434821	Q04771	TRUE
ENSG00000123908	AGO2	ENST00000220592	Q9UKV8	TRUE
ENSG00000142208	AKT1	ENST00000554581	P31749	TRUE
ENSG00000105221	AKT2	ENST00000392038	P31751	TRUE
ENSG00000117020	AKT3	ENST00000673466		TRUE
ENSG00000171094	ALK	ENST00000389048	Q9UM73	TRUE
ENSG00000179477	ALOX12B	ENST00000647874	O75342	TRUE
ENSG00000167522	ANKRD11	ENST00000301030	Q6UB99	TRUE
ENSG00000134982	APC	ENST00000257430	P25054	TRUE
ENSG00000169083	AR	ENST00000374690	P10275	TRUE
ENSG00000078061	ARAF	ENST00000290277	Q96II5	TRUE
ENSG00000117713	ARID1A	ENST00000324856	O14497	TRUE
ENSG00000049618	ARID1B	ENST00000647938	Q8NFD5	TRUE
ENSG00000189079	ARID2	ENST00000334344	Q68CP9	TRUE
ENSG00000150347	ARID5B	ENST00000279873	Q14865	TRUE
ENSG00000171456	ASXL1	ENST00000375687	Q8IXJ9	TRUE
ENSG00000143970	ASXL2	ENST00000404843	Q76L83	TRUE
ENSG00000149311	ATM	ENST00000278616	Q13315	TRUE
ENSG00000175054	ATR	ENST00000350721	Q13535	TRUE
ENSG00000085224	ATRX	ENST00000373344	P46100	TRUE
ENSG00000087586	AURKA	ENST00000347343	O14965	TRUE
ENSG00000178999	AURKB	ENST00000316199	Q96GD4	TRUE
ENSG00000103126	AXIN1	ENST00000262320	O15169	TRUE
ENSG00000168646	AXIN2	ENST00000307078	Q9Y2T1	TRUE
ENSG00000167601	AXL	ENST00000301178	P30530	TRUE
ENSG00000166710	B2M	ENST00000648006	P61769	TRUE
ENSG00000105393	BABAM1	ENST00000359435	Q9NWV8	TRUE
ENSG00000163930	BAP1	ENST00000460680	Q92560	TRUE
ENSG00000138376	BARD1	ENST00000260947	Q99728	TRUE
ENSG00000105327	BBC3	ENST00000449228	Q96PG8	TRUE
ENSG00000142867	BCL10	ENST00000648566	O95999	TRUE
ENSG00000171791	BCL2	ENST00000398117	P10415	TRUE
ENSG00000171552	BCL2L1	ENST00000376062	Q07817	TRUE
ENSG00000153094	BCL2L11	ENST00000393256	O43521	TRUE
ENSG00000113916	BCL6	ENST00000406870	P41182	TRUE
ENSG00000183337	BCOR	ENST00000378444	Q6W2J9	TRUE
ENSG00000023445	BIRC3	ENST00000263464	Q13489	TRUE
ENSG00000197299	BLM	ENST00000355112	P54132	TRUE
ENSG00000107779	BMPR1A	ENST00000372037	P36894	TRUE
ENSG00000157764	BRAF	ENST00000496384	H7C560	TRUE
ENSG00000012048	BRCA1	ENST00000471181	P38398	TRUE
ENSG00000139618	BRCA2	ENST00000380152	P51587	TRUE
ENSG00000141867	BRD4	ENST00000263377	O60885	TRUE
ENSG00000136492	BRIP1	ENST00000259008	Q9BX63	TRUE
ENSG00000010671	BTK	ENST00000621635	Q06187	TRUE
ENSG00000179218	CALR	ENST00000316448	P27797	TRUE
ENSG00000198286	CARD11	ENST00000396946	Q9BXL7	TRUE
ENSG00000142453	CARM1	ENST00000327064	Q86X55	TRUE
ENSG00000064012	CASP8	ENST00000358485	Q14790	TRUE
ENSG00000067955	CBFB	ENST00000412916	Q13951	TRUE
ENSG00000110395	CBL	ENST00000264033	P22681	TRUE
ENSG00000110092	CCND1	ENST00000227507	P24385	TRUE
ENSG00000118971	CCND2	ENST00000261254	P30279	TRUE
ENSG00000112576	CCND3	ENST00000372991	P30281	TRUE
ENSG00000105173	CCNE1	ENST00000262643	P24864	TRUE
ENSG00000120217	CD274	ENST00000381577	Q9NZQ7	TRUE
ENSG00000103855	CD276	ENST00000318443	Q5ZPR3	TRUE
ENSG00000105369	CD79A	ENST00000221972	P11912	TRUE
ENSG00000007312	CD79B	ENST00000392795	P40259	TRUE
ENSG00000070831	CDC42	ENST00000648594	P60953	TRUE
ENSG00000134371	CDC73	ENST00000367435	Q6P1J9	TRUE
ENSG00000039068	CDH1	ENST00000261769	P12830	TRUE
ENSG00000167258	CDK12	ENST00000447079	Q9NYV4	TRUE
ENSG00000135446	CDK4	ENST00000257904	P11802	TRUE
ENSG00000105810	CDK6	ENST00000265734	Q00534	TRUE
ENSG00000132964	CDK8	ENST00000381527	P49336	TRUE
